price,rating,price_range,product_title,JobURL
$21.06,"Average rating:4.6207out of5stars, based on29reviews29ratings Average rating:4.6207out of5stars, based on29reviews29ratings",,"Fiskars Extendable Power-Lever Lopper (25"" - 37"")",https://www.walmart.com/ip/Fiskars-Extendable-Power-Lever-Lopper-25-37/13376291
$5.94,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,EG 8IN SHRUB RAKE,https://www.walmart.com/ip/EG-8IN-SHRUB-RAKE/55503043
$12.04 $22.57,"Average rating:1.9326out of5stars, based on89reviews89ratings Average rating:1.9326out of5stars, based on89reviews89ratings",,7-In-1 Plant Care Garden Tool Set by Pure Garden,https://www.walmart.com/ip/7-In-1-Plant-Care-Garden-Tool-Set-by-Pure-Garden/16890892
$34.99,"Average rating:4.8333out of5stars, based on18reviews18ratings Average rating:4.8333out of5stars, based on18reviews18ratings",,Best Choice Products 9-Piece Gardening Tool Set w/ H  ...,https://www.walmart.com/ip/Best-Choice-Products-9-Piece-Gardening-Tool-Set-w-Hand-Tools-Gloves-Carrying-Tote-Bag-for-Outdoor-Garden-Green/390661371
$14.99,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,SEYMOUR 42016 14-Tine Bow Rake With 13-inch Head,https://www.walmart.com/ip/SEYMOUR-42016-14-Tine-Bow-Rake-With-13-inch-Head/22699488
$21.99,"Average rating:4.5out of5stars, based on4reviews4ratings Average rating:4.5out of5stars, based on4reviews4ratings",,Best Choice Products 4-Piece Kids Garden Tools Set w  ...,https://www.walmart.com/ip/Best-Choice-Products-4-Piece-Kids-Garden-Tools-Set-w-Rake-Shovel-Hoe-and-Leaf-Rake/806393268
$23.21 $26.21,"Average rating:4.4out of5stars, based on10reviews10ratings Average rating:4.4out of5stars, based on10reviews10ratings",,"Fiskars PowerGear UltraBlade Lopper (25"")",https://www.walmart.com/ip/Fiskars-PowerGear-UltraBlade-Lopper-25/16794897
$9.98 $11.79,"Average rating:4.7143out of5stars, based on14reviews14ratings Average rating:4.7143out of5stars, based on14reviews14ratings",,Fiskars Traditional Bypass Pruner,https://www.walmart.com/ip/Fiskars-Traditional-Bypass-Pruner/16794901
$29.00,"Average rating:4.3529out of5stars, based on68reviews68ratings Average rating:4.3529out of5stars, based on68reviews68ratings",,Suncast® Garden Scooter,https://www.walmart.com/ip/Suncast-Garden-Scooter/13727243
$10.86,"Average rating:5out of5stars, based on5reviews5ratings Average rating:5out of5stars, based on5reviews5ratings",,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
$89.12,"Average rating:4.5out of5stars, based on12reviews12ratings Average rating:4.5out of5stars, based on12reviews12ratings",,Gorilla Carts GOR4PS 600 lb. Capacity Poly Garden Du  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR4PS-600-lb-Capacity-Poly-Garden-Dump-Cart/50753947
$9.78,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Ames Fiberglass Handle Garden Hoe,https://www.walmart.com/ip/Ames-Fiberglass-Handle-Garden-Hoe/36073567
$14.49 $24.30,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
$5.94,,,24 Inch Poly Leaf Rake,https://www.walmart.com/ip/24-Inch-Poly-Leaf-Rake/109734257
$6.01,"Average rating:3.561out of5stars, based on41reviews41ratings Average rating:3.561out of5stars, based on41reviews41ratings",,"Jackson Eagle Long-Handle Round Point Shovel, No. 2   ...",https://www.walmart.com/ip/Jackson-Eagle-Long-Handle-Round-Point-Shovel-No-2-Blade-46-Handle-Steel-Ash/16524237
$16.99 $22.86,"Average rating:4.8182out of5stars, based on11reviews11ratings Average rating:4.8182out of5stars, based on11reviews11ratings",,Fiskars 30-Gallon Kangaroo Garden Bag,https://www.walmart.com/ip/Fiskars-30-Gallon-Kangaroo-Garden-Bag/15920186
$10.13 $11.53,"Average rating:4.8out of5stars, based on5reviews5ratings Average rating:4.8out of5stars, based on5reviews5ratings",$10.13 - $11.53,"G & F Women's Garden Gloves, Assorted Colors, Women'  ...",https://www.walmart.com/ip/G-F-Women-s-Garden-Gloves-Assorted-Colors-Women-s-Medium-6-Pairs/49155742
$8.94 $10.66,"Average rating:4.7143out of5stars, based on7reviews7ratings Average rating:4.7143out of5stars, based on7reviews7ratings",,Fiskars Softgrip Floral Pruning Shears,https://www.walmart.com/ip/Fiskars-Softgrip-Floral-Pruning-Shears/1112521
$26.99,"Average rating:4.8571out of5stars, based on42reviews42ratings Average rating:4.8571out of5stars, based on42reviews42ratings",,Best Choice Products Foldable Garden Kneeler and Sea  ...,https://www.walmart.com/ip/Best-Choice-Products-Foldable-Garden-Kneeler-and-Seat-W-Bonus-Tool-Pouch-Portable-Stool-EVA-Pad/50956065
$139.00,"Average rating:4.6791out of5stars, based on3048reviews3048ratings Average rating:4.6791out of5stars, based on3048reviews3048ratings",,WORX WG050 Aerocart 8-in-1 Wheelbarrow / Yard Cart /  ...,https://www.walmart.com/ip/WORX-WG050-Aerocart-8-in-1-Wheelbarrow-Yard-Cart-Dolly/36855594
$69.99 $99.99,"Average rating:3.8889out of5stars, based on9reviews9ratings Average rating:3.8889out of5stars, based on9reviews9ratings",,Costway 650lb Garden Dump Cart Dumper Wagon Carrier   ...,https://www.walmart.com/ip/Costway-650lb-Garden-Dump-Cart-Dumper-Wagon-Carrier-Wheel-Barrow-Air-Tires-Heavy-Duty/125028863
$14.77,,,"True Temper 2919200 64"" Collector Series Poly Leaf R  ...",https://www.walmart.com/ip/True-Temper-2919200-64-Collector-Series-Poly-Leaf-Rake-with-26-Steel-Handle/51715947
$74.99,"Average rating:4.3out of5stars, based on10reviews10ratings Average rating:4.3out of5stars, based on10reviews10ratings",,Best Choice Products Dual Wheel Home Wheelbarrow Yar  ...,https://www.walmart.com/ip/Best-Choice-Products-Dual-Wheel-Home-Wheelbarrow-Yard-Garden-Cart/52697443
$21.84,"Average rating:4.5714out of5stars, based on14reviews14ratings Average rating:4.5714out of5stars, based on14reviews14ratings",,"Fiskars Long-handle Steel Tiller (40"")",https://www.walmart.com/ip/Fiskars-Long-handle-Steel-Tiller-40/20563585
$57.46,"Average rating:4.7419out of5stars, based on31reviews31ratings Average rating:4.7419out of5stars, based on31reviews31ratings",,Ames 2463875 4 Cubic Foot Lawn Cart,https://www.walmart.com/ip/Ames-2463875-4-Cubic-Foot-Lawn-Cart/33867706
$67.06,"Average rating:4.4595out of5stars, based on37reviews37ratings Average rating:4.4595out of5stars, based on37reviews37ratings",,"CW3418 400 lb. Wagon Truck, 36-1/2 In. L",https://www.walmart.com/ip/CW3418-400-lb-Wagon-Truck-36-1-2-In-L/20840114
$89.00 $99.93,"Average rating:4.5047out of5stars, based on317reviews317ratings Average rating:4.5047out of5stars, based on317reviews317ratings",,YIMBY IM4000 Dual-Chamber Tumbling Composter,https://www.walmart.com/ip/YIMBY-IM4000-Dual-Chamber-Tumbling-Composter/20964928
$72.99 $199.95,"Average rating:4.7573out of5stars, based on103reviews103ratings Average rating:4.7573out of5stars, based on103reviews103ratings",,Best Choice Products Potting Bench Outdoor Garden Wo  ...,https://www.walmart.com/ip/Best-Choice-Products-Potting-Bench-Outdoor-Garden-Work-Bench-Station-Planting-Solid-Wood-Construction/105215791
$16.47,"Average rating:5out of5stars, based on5reviews5ratings Average rating:5out of5stars, based on5reviews5ratings",,Ames Wood Handle Action Hoe,https://www.walmart.com/ip/Ames-Wood-Handle-Action-Hoe/43001526
$89.98,"Average rating:4.4286out of5stars, based on7reviews7ratings Average rating:4.4286out of5stars, based on7reviews7ratings",,Gorilla Carts GOR400-COM Steel Garden Cart with Remo  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR400-COM-Steel-Garden-Cart-with-Removable-Sides-400-lb-Capacity-Green/50753941
$44.88,"Average rating:4.5556out of5stars, based on9reviews9ratings Average rating:4.5556out of5stars, based on9reviews9ratings",,Fiskars Power-Lever Extendable Pole Saw & Pruner (7'  ...,https://www.walmart.com/ip/Fiskars-Power-Lever-Extendable-Pole-Saw-Pruner-7-14/136172302
$52.86,"Average rating:4.4375out of5stars, based on16reviews16ratings Average rating:4.4375out of5stars, based on16reviews16ratings",,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
$154.49 $175.48,"Average rating:4.28out of5stars, based on25reviews25ratings Average rating:4.28out of5stars, based on25reviews25ratings",,"Agri-Fab, Inc. 350 lb. Convertible Poly Push/Tow Law  ...",https://www.walmart.com/ip/Agri-Fab-Inc-350-lb-Convertible-Poly-Push-Tow-Lawn-and-Garden-Cart-Model-45-03453/10727798?wpa_bd=1525503682459&wpa_ref_id=b_ac092319-88f4-45f6-9efc-2f806239c759&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=ebdbb02a-1f64-44ba-91b2-61737c4ebddc&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$114.99 $159.05,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
$122.23 $160.75,"Average rating:4out of5stars, based on24reviews24ratings Average rating:4out of5stars, based on24reviews24ratings",,"Agri-Fab, Inc. 350 lb. Steel Tow Behind Lawn and Gar  ...",https://www.walmart.com/ip/Agri-Fab-Inc-350-lb-Steel-Tow-Behind-Lawn-and-Garden-Cart-Model-45-03036/31196430?wpa_bd=1525503682343&wpa_ref_id=b_c80ab0c3-0bfe-4219-8551-0279edd3f4c9&wpa_aux_info=&wpa_tag=&wpa_pos=5&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=ebdbb02a-1f64-44ba-91b2-61737c4ebddc&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$29.86,"Average rating:3.4667out of5stars, based on30reviews30ratings Average rating:3.4667out of5stars, based on30reviews30ratings",,Fiskars 12 Nyglass Tree Pruner,https://www.walmart.com/ip/Fiskars-12-Nyglass-Tree-Pruner/16794903
$9.49 $15.60,"Average rating:4.0833out of5stars, based on12reviews12ratings Average rating:4.0833out of5stars, based on12reviews12ratings",,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
$12.33 $14.88,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,"Emsco Group 2857 22.5"" Poly Leaf Rake, 48"" Wooden Ha  ...",https://www.walmart.com/ip/Emsco-Group-2857-22-5-Poly-Leaf-Rake-48-Wooden-Handle/54053290
$15.06,,,Seymour SV-LR90 42 in Wood Handle Professional Round  ...,https://www.walmart.com/ip/Seymour-SV-LR90-42-in-Wood-Handle-Professional-Round-Point-Shovel/22632635
$158.17,"Average rating:4.1333out of5stars, based on15reviews15ratings Average rating:4.1333out of5stars, based on15reviews15ratings",,"Steel Yard/Garden Cart, 67""W, 13.6 cu. ft.",https://www.walmart.com/ip/Steel-Yard-Garden-Cart-67-W-13-6-cu-ft/45863682
$8.59,"Average rating:5out of5stars, based on3reviews3ratings Average rating:5out of5stars, based on3reviews3ratings",,"G & F Soft Jersey Garden Gloves, 3 Pairs, Green/Pink  ...",https://www.walmart.com/ip/G-F-Soft-Jersey-Garden-Gloves-3-Pairs-Green-Pink-Blue-Women/49155744
$13.19 $16.99,"Average rating:4.5out of5stars, based on2reviews2ratings Average rating:4.5out of5stars, based on2reviews2ratings",,"Stalwart Garden Tool Hangers, Set of 2",https://www.walmart.com/ip/Stalwart-Garden-Tool-Hangers-Set-of-2/41221396
$6.95,"Average rating:4.1out of5stars, based on10reviews10ratings Average rating:4.1out of5stars, based on10reviews10ratings",,Pruning Gardening Shears Roses Shrubs Plants Clippin  ...,https://www.walmart.com/ip/Pruning-Gardening-Shears-Roses-Shrubs-Plants-Clipping-Garden-Pruner-Tool/164804658
$10.97 $13.89,"Average rating:4.4194out of5stars, based on31reviews31ratings Average rating:4.4194out of5stars, based on31reviews31ratings",,Fiskars Shear Ease Grass Shears,https://www.walmart.com/ip/Fiskars-Shear-Ease-Grass-Shears/13376301
$12.85 $15.24,"Average rating:1out of5stars, based on1reviews1ratings Average rating:1out of5stars, based on1reviews1ratings",,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
$8.36,"Average rating:4out of5stars, based on8reviews8ratings Average rating:4out of5stars, based on8reviews8ratings",,Emsco Group Little Diggers Children's Garden Leaf Ra  ...,https://www.walmart.com/ip/Emsco-Group-Little-Diggers-Children-s-Garden-Leaf-Rake/40447647
$12.67,"Average rating:4.8571out of5stars, based on7reviews7ratings Average rating:4.8571out of5stars, based on7reviews7ratings",,Fiskars WoodZig Extendable Pole Pruner Blade,https://www.walmart.com/ip/Fiskars-WoodZig-Extendable-Pole-Pruner-Blade/21387709
$12.23,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Fiskars Cultivator Ergo Scratch Tool,https://www.walmart.com/ip/Fiskars-Cultivator-Ergo-Scratch-Tool/19794439
$9.96,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,"Rapitest Soil Test Kit, 20 Tests",https://www.walmart.com/ip/Rapitest-Soil-Test-Kit-20-Tests/54190815
$18.22,"Average rating:4out of5stars, based on2reviews2ratings Average rating:4out of5stars, based on2reviews2ratings",,Centurion 485 Hammerstone Garden Tool 5 Piece Set,https://www.walmart.com/ip/Centurion-485-Hammerstone-Garden-Tool-5-Piece-Set/23071302
$17.59,"Average rating:5out of5stars, based on3reviews3ratings Average rating:5out of5stars, based on3reviews3ratings",,Garden Tools with Canvas Storage Tool Set Tote and G  ...,https://www.walmart.com/ip/Garden-Tools-with-Canvas-Storage-Tool-Set-Tote-and-Gardening-Gloves-9-Pieces/944175831
$79.99,,,"Earthwise 7.5"" Wide 2.5-Amp Motor Corded Electric Ti  ...",https://www.walmart.com/ip/Earthwise-7-5-Wide-2-5-Amp-Motor-Corded-Electric-Tiller-Cultivator-TC70025/56113124
$5.97,"Average rating:3.3333out of5stars, based on3reviews3ratings Average rating:3.3333out of5stars, based on3reviews3ratings",,"Expert Gardener 25' Light Duty Garden Hose, 5/8"" Ins  ...",https://www.walmart.com/ip/Expert-Gardener-25-Light-Duty-Garden-Hose-5-8-Inside-Diameter/127003279
$7.29,,,Garden Tool Hangers - Set of Two - Holds up to 16 To  ...,https://www.walmart.com/ip/Garden-Tool-Hangers-Set-of-Two-Holds-up-to-16-Tools-by-Stalwart/425653054
$34.13,"Average rating:4.32out of5stars, based on25reviews25ratings Average rating:4.32out of5stars, based on25reviews25ratings",,Seymour WB-JR 85720 Children's Wheelbarrow,https://www.walmart.com/ip/Seymour-WB-JR-85720-Children-s-Wheelbarrow/20550967
$54.99,"Average rating:4.4375out of5stars, based on64reviews64ratings Average rating:4.4375out of5stars, based on64reviews64ratings",,Green Culture Compost Bin,https://www.walmart.com/ip/Green-Culture-Compost-Bin/20966191
$10.99,"Average rating:4.8333out of5stars, based on6reviews6ratings Average rating:4.8333out of5stars, based on6reviews6ratings",,Fiskars Garden Bucket Caddy (Green),https://www.walmart.com/ip/Fiskars-Garden-Bucket-Caddy-Green/20563590
$9.98,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Pruning Shears Extra Hardness Extra Sharp Tree Clipp  ...,https://www.walmart.com/ip/Pruning-Shears-Extra-Hardness-Extra-Sharp-Tree-Clippers-Garden-Hand-Pruners-Cutting-Easier-Ergonomic-Comfortable-Slip-Less-Effort-Gardening-Scissors/954237526
$23.62,"Average rating:4.6667out of5stars, based on87reviews87ratings Average rating:4.6667out of5stars, based on87reviews87ratings",,Gardman Foldaway Garden Kneeler & Seat - Black/Green,https://www.walmart.com/ip/Gardman-Foldaway-Garden-Kneeler-amp-Seat-Black-Green/17164784
$49.99,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Root Assassin Shovel,https://www.walmart.com/ip/Root-Assassin-Shovel/487054556
$89.98,"Average rating:4.6667out of5stars, based on6reviews6ratings Average rating:4.6667out of5stars, based on6reviews6ratings",,"Fiskars Pruning Stik Extendable Tree Pruner, 8""-12""",https://www.walmart.com/ip/Fiskars-Pruning-Stik-Extendable-Tree-Pruner-8-12/37389669
$99.99 $113.99,"Average rating:4.75out of5stars, based on4reviews4ratings Average rating:4.75out of5stars, based on4reviews4ratings",,"Miracle-Gro Dual Chamber Tumbling Composter, 70L/18.  ...",https://www.walmart.com/ip/Miracle-Gro-Dual-Chamber-Tumbling-Composter-70L-18-5-Gals-Per-Chamber/49302070
$28.73,"Average rating:4.1out of5stars, based on30reviews30ratings Average rating:4.1out of5stars, based on30reviews30ratings",,Yard Butler Manual Lawn Coring Aerator,https://www.walmart.com/ip/Yard-Butler-Manual-Lawn-Coring-Aerator/21566454
$109.50,"Average rating:4.3636out of5stars, based on11reviews11ratings Average rating:4.3636out of5stars, based on11reviews11ratings",,Sun Joe SJGC7 7 Cubic Foot Heavy Duty Garden + Utili  ...,https://www.walmart.com/ip/Sun-Joe-SJGC7-7-Cubic-Foot-Heavy-Duty-Garden-Utility-Cart/51202595
$149.98,"Average rating:5out of5stars, based on3reviews3ratings Average rating:5out of5stars, based on3reviews3ratings",,Gorilla Carts GOR6PS Heavy-Duty Poly Yard Dump Cart   ...,https://www.walmart.com/ip/Gorilla-Carts-GOR6PS-Heavy-Duty-Poly-Yard-Dump-Cart-with-2-In-1-Convertible-Handle-1-200-lb-Capacity-Black/50753944
$29.98,"Average rating:3.5out of5stars, based on4reviews4ratings Average rating:3.5out of5stars, based on4reviews4ratings",,Weed Zinger Stand-Up Weeding Tool with Easy Release,https://www.walmart.com/ip/Weed-Zinger-Stand-Up-Weeding-Tool-with-Easy-Release/47467256
$43.38,"Average rating:5out of5stars, based on4reviews4ratings Average rating:5out of5stars, based on4reviews4ratings",,Felco F2 Pruner,https://www.walmart.com/ip/Felco-F2-Pruner/1762721
$31.02,"Average rating:3.5125out of5stars, based on80reviews80ratings Average rating:3.5125out of5stars, based on80reviews80ratings",,Garbage Caddy,https://www.walmart.com/ip/Garbage-Caddy/10135841
$65.51 $99.99,"Average rating:4out of5stars, based on11reviews11ratings Average rating:4out of5stars, based on11reviews11ratings",,"Miracle-Gro Single Chamber Tumbling Composter, 105L/  ...",https://www.walmart.com/ip/Miracle-Gro-Single-Chamber-Tumbling-Composter-105L-27-7-Gal/49302068
$11.99,"Average rating:4.5833out of5stars, based on12reviews12ratings Average rating:4.5833out of5stars, based on12reviews12ratings",,"Jackson Eagle Long-Handle Square Point Shovel, No. 2  ...",https://www.walmart.com/ip/Jackson-Eagle-Long-Handle-Square-Point-Shovel-No-2-Blade-46-Handle-Steel-Ash/21188619
$117.40,"Average rating:3out of5stars, based on2reviews2ratings Average rating:3out of5stars, based on2reviews2ratings",,Ames M6T22 6 Cubic Steel Wheelbarrow,https://www.walmart.com/ip/Ames-M6T22-6-Cubic-Steel-Wheelbarrow/20463684
$65.73,"Average rating:4.3out of5stars, based on10reviews10ratings Average rating:4.3out of5stars, based on10reviews10ratings",,Marathon Industries 70013 5 Cubic Feet Pink Poly Whe  ...,https://www.walmart.com/ip/Marathon-Industries-70013-5-Cubic-Feet-Pink-Poly-Wheelborrow/15780366
$113.44,"Average rating:4.2143out of5stars, based on14reviews14ratings Average rating:4.2143out of5stars, based on14reviews14ratings",,"Agri-Fab, Inc. Dethatcher Tow Behind Lawn Groomer Mo  ...",https://www.walmart.com/ip/Agri-Fab-Inc-Dethatcher-Tow-Behind-Lawn-Groomer-Model-45-02951/55213177?wpa_bd=1525503682167&wpa_ref_id=b_c5559d07-4c91-4592-b107-c7fa32a8d5da&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=0caa449a-9c7c-45e9-980d-1901886d333b&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$99.99,"Average rating:4.7143out of5stars, based on7reviews7ratings Average rating:4.7143out of5stars, based on7reviews7ratings",,Best Choice Products Outdoor Garden Potting Bench Me  ...,https://www.walmart.com/ip/Best-Choice-Products-Outdoor-Garden-Potting-Bench-Metal-Tabletop-W-Cabinet-Work-Station/719614317
$15.13 $16.95,"Average rating:4.1667out of5stars, based on6reviews6ratings Average rating:4.1667out of5stars, based on6reviews6ratings",,"EasyFlex Tree Trunk Protectors, 6 pack",https://www.walmart.com/ip/EasyFlex-Tree-Trunk-Protectors-6-pack/16481094?wpa_bd=1525503623332&wpa_ref_id=b_643a121b-a44e-467d-a762-a3bc8d7c8e31&wpa_aux_info=&wpa_tag=&wpa_pos=5&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=0caa449a-9c7c-45e9-980d-1901886d333b&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$74.90,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Heavy Duty Folding Utility Wagon Wheelbarrow Garden   ...,https://www.walmart.com/ip/Heavy-Duty-Folding-Utility-Wagon-Wheelbarrow-Garden-Cart-Sports-Cart-Shopping-Buggy/721456506
$79.95,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,BeachMall Wonder Wheeler Beach Cart Wide Rear Wheels  ...,https://www.walmart.com/ip/BeachMall-Wonder-Wheeler-Beach-Cart-Wide-Rear-Wheels-with-Silver-Mist-Frame/341409962
$9.47,"Average rating:5out of5stars, based on3reviews3ratings Average rating:5out of5stars, based on3reviews3ratings",,GardenHOME Lady Bug Shaped Large Garden and Yard Lea  ...,https://www.walmart.com/ip/GardenHOME-Lady-Bug-Shaped-Large-Garden-and-Yard-Leaf-Scoops-Hand-Rakes-Multiuse-Leaves-and-Garbage-Trash-Pick-Up-1-Pair-2-Leaf-Scoops/199956578
$1.68 $1.90,"Average rating:4.75out of5stars, based on4reviews4ratings Average rating:4.75out of5stars, based on4reviews4ratings",,"24"" Spiral Tree Guard, 2-Pack",https://www.walmart.com/ip/24-Spiral-Tree-Guard-2-Pack/55126682
$17.99,"Average rating:2.5out of5stars, based on4reviews4ratings Average rating:2.5out of5stars, based on4reviews4ratings",,"ALEKO AP2143 Lawn Garden Sharp Aerating Spike Shoes,  ...",https://www.walmart.com/ip/ALEKO-AP2143-Lawn-Garden-Sharp-Aerating-Spike-Shoes-Green-Color/54980646
$243.59,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Better Homes and Gardens Camrose Farmhouse Outdoor P  ...,https://www.walmart.com/ip/Better-Homes-and-Gardens-Camrose-Farmhouse-Outdoor-Potting-Bench/931234758
$89.60,"Average rating:4.0455out of5stars, based on22reviews22ratings Average rating:4.0455out of5stars, based on22reviews22ratings",,Best Choice Products Folding Utility Wagon Garden Be  ...,https://www.walmart.com/ip/Best-Choice-Products-Folding-Utility-Wagon-Garden-Beach-Cart-W-All-Terrain-Wheels-Blue/694792436
