DetailValue,DetailType,Success,source_product_title,source_JobURL
Brand,Pure Garden,Succeeded,Pure Garden Folding Garden Stool with Tool Bag and 5  ...,https://www.walmart.com/ip/Pure-Garden-Folding-Garden-Stool-with-Tool-Bag-and-5-Garden-Tools/55260015
Manufacturer Part Number,50-157,Succeeded,Pure Garden Folding Garden Stool with Tool Bag and 5  ...,https://www.walmart.com/ip/Pure-Garden-Folding-Garden-Stool-with-Tool-Bag-and-5-Garden-Tools/55260015
Material,"Metal, Fabric",Succeeded,Pure Garden Folding Garden Stool with Tool Bag and 5  ...,https://www.walmart.com/ip/Pure-Garden-Folding-Garden-Stool-with-Tool-Bag-and-5-Garden-Tools/55260015
Assembled Product Dimensions (L x W x H),11.50 x 11.50 x 16.00 Inches,Succeeded,Pure Garden Folding Garden Stool with Tool Bag and 5  ...,https://www.walmart.com/ip/Pure-Garden-Folding-Garden-Stool-with-Tool-Bag-and-5-Garden-Tools/55260015
Color,Orange,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Brand,Fiskars,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Assembled Product Weight,2.8 oz,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Manufacturer Part Number,487447,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Model,487447,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Condition,New,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Assembled Product Dimensions (L x W x H),3.00 x 11.88 x 39.75 Inches,Succeeded,Fiskars Stand-up Weeder (3-Claw),https://www.walmart.com/ip/Fiskars-Stand-up-Weeder-3-Claw/19856858
Features,kgrm - sold as 4 units,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Brand,True Temper,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Material,Multi,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Model,KGRM,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Manufacturer Part Number,1321-0257,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Assembled Product Dimensions (L x W x H),43.25 x 6.75 x 3.25 Inches,Succeeded,True Temper KGRM Real Tools For Kids Garden Rake,https://www.walmart.com/ip/True-Temper-KGRM-Real-Tools-For-Kids-Garden-Rake/23102041
Features,"long handle eliminates sore knees from kneeling and back ache from bending and stooping, offset handle design offers improved ergonomics to reduce wrist strain and enhance grip",Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Brand,Fiskars,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Model,3399501001,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Color,Multicolor,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Material,Stainless Steel,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Manufacturer Part Number,3399501001,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Assembled Product Weight,2.0 Pounds,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Assembled Product Dimensions (L x W x H),39.40 x 11.70 x 3.20 Inches,Succeeded,"FISKARS 339950 Stand-Up Weed Remover,39 in. Handle L  ...",https://www.walmart.com/ip/FISKARS-339950-Stand-Up-Weed-Remover-39-in-Handle-L-G4036621/49713817
Brand,GardenHOME,Succeeded,GardenHOME Ergonomic Garden Tools 4 Piece Tool Set w  ...,https://www.walmart.com/ip/GardenHOME-Ergonomic-Garden-Tools-4-Piece-Tool-Set-with-Trowel-Cultivator-Transplanter-and-Weeding-Fork/450114505
Features,"Soft Grip, Comfortable Grip",Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Brand,Fiskars,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Model,485888,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Material,Stainless Steel,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Manufacturer Part Number,99216935J,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Assembled Product Weight,0.15 POUNDS,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Assembled Product Dimensions (L x W x H),6.00 x 3.88 x 10.75 Inches,Succeeded,Fiskars Softgrip Micro-Tip Pruning Snip,https://www.walmart.com/ip/Fiskars-Softgrip-Micro-Tip-Pruning-Snip/19792672
Brand,Gorilla Carts,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Material,Steel,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Model,GOR1001-COM,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Color,Gray,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Manufacturer Part Number,GOR1001-COM,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Assembled Product Dimensions (L x W x H),55.10 x 24.60 x 44.10 Inches,Succeeded,Gorilla Carts GOR1001-COM Heavy-Duty Steel Utility C  ...,https://www.walmart.com/ip/Gorilla-Carts-GOR1001-COM-Heavy-Duty-Steel-Utility-Cart-with-Removable-Sides-1-000-lb-Capacity-Grey/50753938
Brand,Westminster Pet,Succeeded,Westminster Pet Poop Patrol Rake And Pan With IONpur  ...,https://www.walmart.com/ip/Westminster-Pet-Poop-Patrol-Rake-And-Pan-With-IONpure-Pet-Scooper/20845002
Model,51114,Succeeded,Westminster Pet Poop Patrol Rake And Pan With IONpur  ...,https://www.walmart.com/ip/Westminster-Pet-Poop-Patrol-Rake-And-Pan-With-IONpure-Pet-Scooper/20845002
Manufacturer Part Number,51114,Succeeded,Westminster Pet Poop Patrol Rake And Pan With IONpur  ...,https://www.walmart.com/ip/Westminster-Pet-Poop-Patrol-Rake-And-Pan-With-IONpure-Pet-Scooper/20845002
Assembled Product Dimensions (L x W x H),35.00 x 12.00 x 12.00 Inches,Succeeded,Westminster Pet Poop Patrol Rake And Pan With IONpur  ...,https://www.walmart.com/ip/Westminster-Pet-Poop-Patrol-Rake-And-Pan-With-IONpure-Pet-Scooper/20845002
Brand,Fiskars,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Handle Material,Steel,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Manufacturer Part Number,96676933J,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Assembled Product Weight,4.85 lb,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Model,96676933J,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Assembled Product Dimensions (L x W x H),47.20 x 8.50 x 3.25 Inches,Succeeded,"Fiskars Steel D-handle Garden Spade (46"")",https://www.walmart.com/ip/Fiskars-Steel-D-handle-Garden-Spade-46/23703432
Brand,TALON,Succeeded,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
Model,83750,Succeeded,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
Material,"High Carbon Steel, Aluminum",Succeeded,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
Manufacturer Part Number,83750,Succeeded,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
Assembled Product Dimensions (L x W x H),27.00 x 9.00 x 1.00 Inches,Succeeded,"Bypass Tree Lopper, Non-Stick",https://www.walmart.com/ip/Bypass-Tree-Lopper-Non-Stick/35774538
Frame Material,Metal,Succeeded,"Foldable Garden Kneeler Seat & 2 Tool Pouches, Porta  ...",https://www.walmart.com/ip/Foldable-Garden-Kneeler-Seat-2-Tool-Pouches-Portable-Stool-EVA-Pad-cbst/676454614
Condition,New,Succeeded,"Foldable Garden Kneeler Seat & 2 Tool Pouches, Porta  ...",https://www.walmart.com/ip/Foldable-Garden-Kneeler-Seat-2-Tool-Pouches-Portable-Stool-EVA-Pad-cbst/676454614
Model,WT004987,Succeeded,"Foldable Garden Kneeler Seat & 2 Tool Pouches, Porta  ...",https://www.walmart.com/ip/Foldable-Garden-Kneeler-Seat-2-Tool-Pouches-Portable-Stool-EVA-Pad-cbst/676454614
Brand,Procyberstore,Succeeded,"Foldable Garden Kneeler Seat & 2 Tool Pouches, Porta  ...",https://www.walmart.com/ip/Foldable-Garden-Kneeler-Seat-2-Tool-Pouches-Portable-Stool-EVA-Pad-cbst/676454614
Recommended Location,Outdoor,Succeeded,"Foldable Garden Kneeler Seat & 2 Tool Pouches, Porta  ...",https://www.walmart.com/ip/Foldable-Garden-Kneeler-Seat-2-Tool-Pouches-Portable-Stool-EVA-Pad-cbst/676454614
Material,Plastic,Succeeded,"Step2 Garden Kneeler, Green",https://www.walmart.com/ip/Step2-Garden-Kneeler-Green/24268584
Brand,Step2,Succeeded,"Step2 Garden Kneeler, Green",https://www.walmart.com/ip/Step2-Garden-Kneeler-Green/24268584
Model,534900,Succeeded,"Step2 Garden Kneeler, Green",https://www.walmart.com/ip/Step2-Garden-Kneeler-Green/24268584
Manufacturer Part Number,534900,Succeeded,"Step2 Garden Kneeler, Green",https://www.walmart.com/ip/Step2-Garden-Kneeler-Green/24268584
Assembled Product Dimensions (L x W x H),22.00 x 11.00 x 17.00 Inches,Succeeded,"Step2 Garden Kneeler, Green",https://www.walmart.com/ip/Step2-Garden-Kneeler-Green/24268584
Features,easy roller jr poly cart 3cf,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Brand,Easy Roller Jr,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Material,Plastic,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Model,2463675,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Color,Tan,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Manufacturer Part Number,1350-4105,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Count,1,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Assembled Product Dimensions (L x W x H),37.50 x 20.00 x 26.00 Inches,Succeeded,Ames 2463675 3 Cubic Feet Easy Roller Jr. Lawn Cart,https://www.walmart.com/ip/Ames-2463675-3-Cubic-Feet-Easy-Roller-Jr-Lawn-Cart/1762454
Material,Metal and Foam,Succeeded,Folding Garden Kneeler and Seat Bench With 2 Tool Po  ...,https://www.walmart.com/ip/Folding-Garden-Kneeler-and-Seat-Bench-With-2-Tool-Pockets-Green/909490525
Brand,Unbrand,Succeeded,Folding Garden Kneeler and Seat Bench With 2 Tool Po  ...,https://www.walmart.com/ip/Folding-Garden-Kneeler-and-Seat-Bench-With-2-Tool-Pockets-Green/909490525
Model,Garden Kneeler Seat,Succeeded,Folding Garden Kneeler and Seat Bench With 2 Tool Po  ...,https://www.walmart.com/ip/Folding-Garden-Kneeler-and-Seat-Bench-With-2-Tool-Pockets-Green/909490525
Brand,TOUA,Succeeded,Kneeling Pad Thick Extra Large Foam Comfort Kneeling  ...,https://www.walmart.com/ip/Kneeling-Pad-Thick-Extra-Large-Foam-Comfort-Kneeling-Pad-for-Work-Gardening-Yoga-Exercise/548896350
Brand,Tooluxe,Succeeded,Pruning Gardening Shears Roses Shrubs Plants Clippin  ...,https://www.walmart.com/ip/Pruning-Gardening-Shears-Roses-Shrubs-Plants-Clipping-Garden-Pruner-Tool/164804658
Model,60206L,Succeeded,Pruning Gardening Shears Roses Shrubs Plants Clippin  ...,https://www.walmart.com/ip/Pruning-Gardening-Shears-Roses-Shrubs-Plants-Clipping-Garden-Pruner-Tool/164804658
Manufacturer Part Number,60206L,Succeeded,Pruning Gardening Shears Roses Shrubs Plants Clippin  ...,https://www.walmart.com/ip/Pruning-Gardening-Shears-Roses-Shrubs-Plants-Clipping-Garden-Pruner-Tool/164804658
Brand,Precision Brand,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Manufacturer Part Number,PLR1848DC,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Assembled Product Weight,52 oz,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Model,PLR1848DC,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Color,Black,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Assembled Product Dimensions (L x W x H),58.00 x 57.00 x 18.00 Inches,Succeeded,"Precision 18"" x 48"" Poly Lawn Roller",https://www.walmart.com/ip/Precision-18-x-48-Poly-Lawn-Roller/23597487
Brand,Fiskars,Succeeded,Big Clearance&Sale!Portable Garden Kneeler Seat Padd  ...,https://www.walmart.com/ip/Big-Clearance-Sale-Portable-Garden-Kneeler-Seat-Padded-Folding-Gardening-Chair-Lawn-Bench-Kneel-Yard-Tool-Green/297216991
Model,9181082,Succeeded,Big Clearance&Sale!Portable Garden Kneeler Seat Padd  ...,https://www.walmart.com/ip/Big-Clearance-Sale-Portable-Garden-Kneeler-Seat-Padded-Folding-Gardening-Chair-Lawn-Bench-Kneel-Yard-Tool-Green/297216991
Manufacturer Part Number,331410-1001,Succeeded,Big Clearance&Sale!Portable Garden Kneeler Seat Padd  ...,https://www.walmart.com/ip/Big-Clearance-Sale-Portable-Garden-Kneeler-Seat-Padded-Folding-Gardening-Chair-Lawn-Bench-Kneel-Yard-Tool-Green/297216991
Assembled Product Dimensions (L x W x H),51.50 x 9.13 x 7.00 Inches,Succeeded,Big Clearance&Sale!Portable Garden Kneeler Seat Padd  ...,https://www.walmart.com/ip/Big-Clearance-Sale-Portable-Garden-Kneeler-Seat-Padded-Folding-Gardening-Chair-Lawn-Bench-Kneel-Yard-Tool-Green/297216991
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
Features,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
,,Succeeded,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
